Category,Clue,Answer,General Subject,Specific Subject,Correct,Value,Level,Date
The House of Power,"Shakespeare's Richard III mentions ""the clouds that lour'd upon our house""--this ruling house with a white rose symbol",York,History,European History,FALSE,800,2,12/29/2022
The House of Power,"Protected by camels, the first emperor of this dynasty that overthrew the Mongols is buried in Nanjing, near where the dynasty began",Ming,History,Asian History,TRUE,1200,3,12/29/2022
The House of Power,"William was a popular boys' name in this Dutch house, like of William III, king from 1849 to 1890",House of Orange,History,European History,FALSE,1600,4,12/29/2022
The House of Power,Karl of this house that ruled much of Central Europe for hundreds of years served in the European parliament in the 1990s,Hapsburg,History,European History,TRUE,2000,5,12/29/2022
Rings of Dragons,"Tasting a bit like kiwi & pear, dragon fruit grows in Mexico & Central America on the Hylocereus species of this",Cactus,General Knowledge,Cooking,TRUE,400,1,12/29/2022
Rings of Dragons,"In Chinese myth the dragon was benevolent, exemplifying this masculine half of a complementary life force",Yang,Religion,Taoism,FALSE,800,2,12/29/2022
Rings of Dragons,The red dragon of Cadwaladr is on the flag of this constituent unit of the United Kingdom,Wales,Geography,Flags,FALSE,1200,3,12/29/2022
Rings of Dragons,"The apocryphal ""Bel & the Dragon"", added to this Old Testament book, finds the title guy in a lion's den again",Daniel,Religion,Niviim,TRUE,1600,4,12/29/2022
Rings of Dragons,"The largest lizard species, it mostly eats carrion but has been known to ambush a pig or deer",Komodo Dragon,Science,Biology,TRUE,2000,5,12/29/2022
Gods and Goddesses,"Each morning she began her ride in her chariot across the sky ahead of her brother Sol, or Helios",Eos,Classics,Greek Mythology,FALSE,0,6,12/29/2022
Compose Yourself,"By Claude Deubssy: ""Prelude to the Afternoon of"" this mythical creature",A Faun,Music,Classical,FALSE,200,1,12/28/2022
Compose Yourself,"By him: the opera ""Cosi fan tutte""",Mozart,Music,Opera,FALSE,400,2,12/28/2022
Compose Yourself,"From the 1870s, ""Marche slave"" & the opera ""Eugene Onegin"", by him",Tzchaikovsky,Music,Classical,TRUE,600,3,12/28/2022
Compose Yourself,"By Hector Berlioz: ""Symphonie fatstique"" ending with their Sabbat",The Witches,Music,Classical,FALSE,800,4,12/28/2022
Compose Yourself,"""The Carnival of the Animals"", not publicly performed in full in his lifetime",Saint-Saens,Music,Classical,FALSE,1000,5,12/28/2022
6-Letter Verbs,There are 3 Es in this verb meaning to come into view or rise from water,Emerge,Linguistics,Vocabulary,FALSE,200,1,12/28/2022
6-Letter Verbs,"""Cease"" has 5 letters; this word that's paired with it in a legal term has 6",Desist,Law,Legal Terms,TRUE,400,2,12/28/2022
6-Letter Verbs,"The stock markets love this word that can mean, among other things, spend time on & give power to",Invest,Linguistics,Vocabulary,FALSE,600,3,12/28/2022
6-Letter Verbs,"The ""P"" is not silent at the end of this verb meaning to get back your losses",Recoup,Linguistics,Vocabulary,TRUE,800,4,12/28/2022
6-Letter Verbs,"As a means of making amends, it's sometimes done to ""the beef""",Squash,Linguistics,Idioms,FALSE,1000,5,12/28/2022
Car Collisions,The maker of the Navigator collides with the maker of the Sentra,LincolNissan,Technology,Cars,FALSE,200,1,12/28/2022
Car Collisions,"Over in Britain, the maker of the sporty XK-E runs into the maker of the luxury Phantom",JaguaRolls Royce,Technology,Cars,FALSE,400,2,12/28/2022
Car Collisions,The company founded by Henry in 1903 heads down a Michigan road & hits the company founded by brothers John & Horace in 1914,ForDodge,Technology,Cars,FALSE,600,3,12/28/2022
Car Collisions,The maker of the Escalade bumps into the maker of the Pacifica minivan,CadillaChrysler,Technology,Cars,FALSE,800,4,12/28/2022
Car Collisions,A former Swedish rivaal of Volvo bumps into Daimler's competitor Karl,SaaBenz,Technology,Cars,FALSE,1000,5,12/28/2022
Oscar Winners on TV,"She's the only host of ""The View"" who can boast of being an Oscar winner",Whoopie Goldberg,Film,Oscar,TRUE,200,1,12/28/2022
Oscar Winners on TV,"He & his daughter Corinnejoined forces to host a musical game show called ""Beat Shazam""",Jamie Foxx,Film,Oscar,FALSE,400,2,12/28/2022
Oscar Winners on TV,"On ""Alaska Daily"", she plays a journalist who looks into the disappearance & murders of indigenous women",Hillar Swank,Television,Actors,FALSE,600,3,12/28/2022
Oscar Winners on TV,"In 2022, she took on the role of Dottie, matriarch of a country music dynasty on ""Monarch""",Susan Sarandon,Television,Actors,FALSE,800,4,12/28/2022
Oscar Winners on TV,"Angelina Jolie's dad in real life, he played Liev Schreiber's dad on ""Ray Donovan""",John Voight,Television,Actors,FALSE,1000,5,12/28/2022
Here Comes the Bribe,"Swede Risberg of this team took a bribe to lose the World Series & came through, going 2 for 25 with 4 errors",The Black Sox,Sports,Baseball,FALSE,200,1,12/28/2022
Here Comes the Bribe,"n 2002 the FBI's Memphis office began an operation called this ""Waltz"", which paid $150,000 in bribes & convicted several officials",Tennessee Waltz,History,American History,FALSE,400,2,12/28/2022
Here Comes the Bribe,"In 1982 while leader of this labor union, Roy Williams was convicted of trying to bribe a U.S. senator to kill a new trucking law",The Teamsters,Politics,Organizations,FALSE,600,3,12/28/2022
Here Comes the Bribe,The 1798 XYZ Affair involved agents of this nation seeking bribes from the U.S. for preferential treatment in negotiations,France,History,Early America,TRUE,800,4,12/28/2022
Here Comes the Bribe,"n Rome in 69 A.D., Marcus Salvius Otho bribed this security force to murder the Emperor Galba & have Otho put on the throne",Praetorian Guard,Classics,Roman History,FALSE,1000,5,12/28/2022
All Dressed in White,"In test match play, the 11 members of a team on the pitch in this sport wear white uniforms",Cricket,Sports,Cricket,TRUE,200,1,12/28/2022
All Dressed in White,First-year Spelman students must wear all white to the convocation & induction events during this 2-week introductory period,Greek Week,General Knowledge,Culture,FALSE,400,2,12/28/2022
All Dressed in White,"It's white, it keeps you alive, it's an extravehicular mobility unit better known by this alliterative name",Space Suit,Technology,Aviation,FALSE,600,3,12/28/2022
All Dressed in White,"An 1889 painting of David Hayes Agnew, professor of this medical skill, is an early depiction of doctors in white",Surgery,Science,Medicine,TRUE,800,4,12/28/2022
All Dressed in White,Initiates in this religion that developed in Cuba in the 1800s wear white for their first year,Santeria,Religion,Santeria,FALSE,1000,5,12/28/2022
Literary Character Names,"Truman Capote changed the heroine of ""Breakfast at Tiffany's"" from Connie Gustafson to this, capturing her free spirit better",Holly Golightly,Literature,Characters,FALSE,400,1,12/28/2022
Literary Character Names,"wizardingworld.com tells us this villainous last name means ""bad faith""",Malfoy,Literature,Characters,TRUE,800,2,12/28/2022
Literary Character Names,This Henry Fielding hero is adopted by the benevolent & benevolent-sounding Squire Allworthy,Tom Jones,Literature,Characters,FALSE,1200,3,12/28/2022
Literary Character Names,"He's a sensitive member of J.D. Salinger's Glass family; at one point, it's spelled as 2 words like ""perceive extra""",Seymour Glass,Literature,Characters,FALSE,1600,4,12/28/2022
Literary Character Names,"""You were never there"", a girlfriend tells this hero of Bret Easton Ellis' ""Less Than Zero""; other people just seem to mold him",Clay,Literature,Characters,FALSE,2000,5,12/28/2022
A Category of Chance,"You'll need luck to find a 4-leaf clover as the gene responsible is this, not dominant",Recessive,Science,Biology,TRUE,400,1,12/28/2022
A Category of Chance,"Tetrodotoxin can make eating this fish a dicey proposition, so make sure your sushi chef is no slouch",Fugu,General Knowledge,Cooking,TRUE,800,2,12/28/2022
A Category of Chance,Since 2016 this musical has had an online lottery that's allowed lucky winners to purchase tickets for the fitting sum of $10,Hamilton,Theater,Broadway,FALSE,1200,3,12/28/2022
A Category of Chance,"Yungas Road looks a little bit scary but to drive from Coroico to this Bolivian administrative capital, you might have to risk it",La Paz,Geography,World Capitals,FALSE,1600,4,12/28/2022
A Category of Chance,"An aging film star has a lover named Chance in this playwright's ""Sweet Bird of Youth"", set in a small southern town",Tennessee Williams,Theater,Authors,FALSE,2000,5,12/28/2022
The Human Body,"It's about 5 feet long & its name refers to its wider diameter, not its lengt",The Large Intestine,Science,Anatomy,FALSE,400,1,12/28/2022
The Human Body,"If I had a malleus, which I do, in my middle ear, I'd also call it this, because of its shape",Hammer,Science,Anatomy,FALSE,800,2,12/28/2022
The Human Body,Adrenaline is another name for this hormone secreted in times of stress by the adrenal glands,Epinephrine,Science,Anatomy,TRUE,1200,3,12/28/2022
The Human Body,"From Latin for ""hard mother"", it's a tough membrane protecting the brain & spinal cord",Dura Mater,Science,Anatomy,TRUE,1600,4,12/28/2022
The Human Body,"Clusters of cells in the pancreas, including the ones that produce insulin, are known as the islets of this",Langerhans,Science,Anatomy,FALSE,2000,5,12/28/2022
World Capitals,t was the birthplace of author James Joyce,Dublin,Literature,Authors,FALSE,400,1,12/28/2022
World Capitals,ndira Gandhi International Airport serves this capital,New Dehli,Geography,World Capitals,TRUE,800,2,12/28/2022
World Capitals,"Of South Africa's 3 capitals, this judicial one is alphabetically first",Bloemfontein,Geography,Cities,FALSE,1200,3,12/28/2022
World Capitals,It's home to Kim Il-sung University,Pyongyang,Geography,World Capitals,TRUE,1600,4,12/28/2022
World Capitals,The Sheikh Zayed Grand Mosque in this capital of the United Arab Emirates is an architectural masterpiece,Abu Dhabi,Geography,World Capitals,FALSE,2000,5,12/28/2022
Eponyms,It's the writing system seen here,Braille,Linguistics,Orthography,TRUE,400,1,12/28/2022
Eponyms,The name of the pastry seen here honors a famous French guy,Napoleon,General Knowledge,Cooking,FALSE,800,2,12/28/2022
Eponyms,This item seen here is used in bacteriology,Petri Dish,Science,Biology,TRUE,1200,3,12/28/2022
Eponyms,"A trusted advisor & teacher, from the one who tutored Telemachus",Mentor,Classics,Philosophy,FALSE,1600,4,12/28/2022
Eponyms,"Plagued by debt, the man for whom this fuel is named disappeared from the deck of the SS Dresden in 1913",Diesel,Technology,Energy,FALSE,2000,5,12/28/2022
It Had to be Hugh,"To bulk up for his Wolverine roles, he did a lot of weightlifting & consumed 6,000 calories a day",Hugh Jackman,Film,Actors,TRUE,400,1,12/28/2022
It Had to be Hugh,"In 1953 he informed newsstands that ""Stag Party--a brand new magazine for men--will be out this fall""",Hugh Hefner,Business,Executives,FALSE,800,2,12/28/2022
It Had to be Hugh,"Claire Danes is married to this British actor who recently played Jack Barber in the movie ""Downton Abbey: A New Era""",Hugh Dancy,FIlm,Actors,FALSE,1200,3,12/28/2022
It Had to be Hugh,Hugh Downs was the longtime host of this game show; Alex Trebek later hosted a Classic version,Concentration,Television,Gameshows,FALSE,1600,4,12/28/2022
It Had to be Hugh,"This Brit was out of the house as Ryan Clark on ""Avenue 5"" episodes like ""He's Only There to Stop His Skeleton From Falling Over""",Hugh Laurie,Television,Actors,TRUE,2000,5,12/28/2022
America At War,"Until the Civil War, the January 8 date of this battle of dubious military importance but big morale value was a national holiday",Battle of New Orleans,History,American History,TRUE,0,6,12/28/2022
Espionage Glossary,"003, here's your this, a compilation of documents about your next target; the Steele one was in the news in 2017",Dossier,Linguistics,Vocabulary,TRUE,200,1,12/27/2022
Espionage Glossary,"John le Carré popularized this word; in a 1974 novel, he defined it as ""an agent so called because he burrows deep""",Mole,Linguistics,Vocabulary,FALSE,400,2,12/27/2022
Espionage Glossary,"This ""mortal"" term refers to the prearranged location spies use to relay information without meeting",Dead Drop,Linguistics,Vocabulary,TRUE,600,3,12/27/2022
Espionage Glossary,"Also a word for ""zero"", it's a method spies use to disguise messages by shuffling letters around",Cipher,Linguistics,Vocabulary,FALSE,800,4,12/27/2022
Espionage Glossary,"The use of sexual wiles in espionage is called this, which sounds like it would work against Winnie-the-Pooh",Honey Trap,Linguistics,Vocabulary,TRUE,1000,5,12/27/2022
Rhyming Responses,A bird that can talk and a unit of gold fineness,"Parrot, Carat",Linguistics,Vocabulary,TRUE,200,1,12/27/2022
Rhyming Responses,"To shred cheese and ocho, translated from Spanish","Grate, Eight",Linguistics,Vocabulary,TRUE,400,2,12/27/2022
Rhyming Responses,"A response (well, other than on ""Jeopardy"" and a terpsichorean","Answer, Dancer",Linguistics,Vocabulary,FALSE,600,3,12/27/2022
Rhyming Responses,To confiscate by force and to goad (or to backcomb your hair a bit),"Seize, Tease",Linguistics,Vocabulary,FALSE,800,4,12/27/2022
Rhyming Responses,"Arriving before the expected time and in a rotten, irritable mood",Early and Surly,Linguistics,Vocabulary,FALSE,1000,5,12/27/2022
World of Beers,"Refreshing like a milkshake, this Irish beer nicknamed ""the black stuff"" is known for its unique texture",Guinness,General Knowledge,Beer,TRUE,200,1,12/27/2022
World of Beers,Singha beer from Thailand uses a mystical one of these beasts on its label,Lion,General Knowledge,Beer,FALSE,400,2,12/27/2022
World of Beers,Goldstar & Maccabee are beers from this nation,Israel,General Knowledge,Beer,TRUE,600,3,12/27/2022
World of Beers,Trappist monks in this small European country make Chimay & use the income to support their charitable works,Belgium,Religion,Christianity,FALSE,800,4,12/27/2022
World of Beers,"First brewed in 1842, Pilsner Urquell from this Central European republic is based on a beer first made in the Middle Ages",Czech Republic,General Knowledge,Beer,TRUE,1000,5,12/27/2022
Historical Figures on Film,"2018: Felicity Jones as this groundbreaking attorney in ""On the Basis of Sex""",Ruth Bader Ginsburg,Law,Supreme Court Justices,FALSE,200,1,12/27/2022
Historical Figures on Film,2008: Him as slain San Franciscan leader Harvey Milk,Sean Penn,Film,Actors,FALSE,400,2,12/27/2022
Historical Figures on Film,2022: Tom Hanks as this manager of Elvis with a shadowy past,Colonel Tom Parker,Music,Pop,FALSE,600,3,12/27/2022
Historical Figures on Film,"2010: Him as George VI in ""The King's Speech""",Colin Firth,Film,Actors,FALSE,800,4,12/27/2022
Historical Figures on Film,"2021: Her as Diana, spending Christmas with the in-laws",Kristen Stewart,Film,Actors,FALSE,1000,5,12/27/2022
Fiction,"Written under the V.C. Andrews name, recent prequels to her bestselling series include ""Beneath the"" this & ""Out of the"" this",Attic,Literature,Book Titles,FALSE,200,1,12/27/2022
Fiction,"In Ruth Ware's thriller ""The Woman in Cabin 10"", the cabin isn't in the woods but on one of these",A Boat,Literature,Book Titles,FALSE,400,2,12/27/2022
Fiction,"From chapter 1 of this classic: ""On a bright may morning in 1888, John, Lord Greystoke, and Lady Alice sailed from Dover...""",Tarzan,Literature,Book Titles,FALSE,600,3,12/27/2022
Fiction,"His ""The World According to Garp"" & ""The Cider House Rules"" were both made into movies",John Irving,Literature,Authors,FALSE,800,4,12/27/2022
Fiction,"This author of ""Waiting to Exhale"" says, ""I write about what breaks my heart, what I don't understand & what I wish I could change""",McMillan,Literature,Authors,FALSE,1000,5,12/27/2022
Economy of Movement,"The Smithsonian exhibited a ticket costing a pricey 1,000 reichsmarks for the 1937 last flight of this transport",Hindenburg,Technology,Aviation,TRUE,200,1,12/27/2022
Economy of Movement,"A train still runs under the name Venice Simplon this, but Istanbul to Paris costs $20,000 for a twin cabin?! That's murder!",Orient Express,Geography,Trains,FALSE,400,2,12/27/2022
Economy of Movement,"""Doc... are you telling me that you built a time machine... out of a"" this? & You can rent a replica for $2,000 a day?!",DeLorean,Film,Movies,TRUE,600,3,12/27/2022
Economy of Movement,"This airline can take you first class from New York to London for about $6,500; a trip on the same brand ""Galactic"" is more",Virgin,Business,Companies,TRUE,800,4,12/27/2022
Economy of Movement,"In 2008 this alphanumeric Cunard ship set out with its last passengers, with some berths going for more than $40,000",QEII,Business,Companies,FALSE,1000,5,12/27/2022
Flyover Countries,So sit back & relax as we leave Tunisia & head east along the Mediterranean coast over this country on our way to Egypt,Libya,Geography,North Africa,FALSE,400,1,12/27/2022
Flyover Countries,We've got the wind behind us as we cruise east out of Bosnia & Herzegovina to fly over this country on Romania's western border,Serbia,Geography,Europe,FALSE,800,2,12/27/2022
Flyover Countries,We're next in line for departure; we'll head south out of Ecuador into this nation & finally touch down in Chile,Peru,Geography,South America,TRUE,1200,3,12/27/2022
Flyover Countries,We hope you enjoyed your time in Iraq; now take in the Persian Gulf on our left as we cross this small emirate & land in Saudi Arabia,Kuwait,Geography,Middle East,FALSE,1600,4,12/27/2022
Flyover Countries,Skies are clear as we fly west out of Panama & into this country's airspace; we'll ease north & have you in Nicaragua in no time,Costa Rica,Geography,Central America,TRUE,2000,5,12/27/2022
Synonyms,This book part is a synonym for backbone,Spine,Linguistics,Vocabulary,TRUE,400,1,12/27/2022
Synonyms,It can be an angry look or a harsh light,Glare,Linguistics,Vocabulary,TRUE,800,2,12/27/2022
Synonyms,"This synonym for ""oceanic"" can also be a member of the armed forces",Marine,Linguistics,Vocabulary,TRUE,1200,3,12/27/2022
Synonyms,"A stain on one's character can be this, also beginning with ""st""",Stigma,Linguistics,Vocabulary,FALSE,1600,4,12/27/2022
Synonyms,"This 6-letter synonym for ""whirlpool"" comes from Latin for ""whirlpool""",Vortex,Linguistics,Latin,FALSE,2000,5,12/27/2022
Science,"This sweet plant secretion that's full of sucrose, fructose & glucose serves to attract pollinators like birds & bees",Nectar,Science,Biology,TRUE,400,1,12/27/2022
Science,The epicanthus is a fold of skin at the inner corner of this part of the human body,Eye,Science,Anatomy,TRUE,800,2,12/27/2022
Science,This region of the inner Earth is prone to hot spots; volcanoes can form above them,Mantle,Science,Geology,TRUE,1200,3,12/27/2022
Science,"It's the process by which an atomic nucleus splits into 2 smaller nuclei, or how certain single-celled organisms reproduc",Fission,Science,Physics,TRUE,1600,4,12/27/2022
Science,"Neptune's moon Triton is the only big moon in our solar system that orbits in this 10-letter way, meaning backwards",Retrograde,Science,Astronomy,TRUE,2000,5,12/27/2022
Album Covers,"Springsteen said of this cover, a lot of photos were taken but in the end his behind looked better than his face",Born in the U.S.A.,Music,Pop,FALSE,400,1,12/27/2022
Album Covers,"The cover of Green Day's ""American Idiot"" shows a bloody hand holding a heart-shaped one of these--stand back!",Grenade,Music,Pop,TRUE,800,2,12/27/2022
Album Covers,"Alberto Vargas painted model Candy Moore posing on a Ferrari for this band's ""Candy-O""",The Cars,Music,Pop,FALSE,1200,3,12/27/2022
Album Covers,"Patti Smith's photo on the cover of her ""Horses"" album was taken by this soulmate & photographer who died of AIDS at 42",Mapplethorpe,Music,Pop,FALSE,1600,4,12/27/2022
Album Covers,"Actress Kate Murtagh, who appeared as a waitress on their 1979 ""Breakfast in America"" album, died in 2017 at age 96",Supertramp,Music,Pop,FALSE,2000,5,12/27/2022
The Civil War,Confederate general Thomas Jackson gained this nickname at the first Battle of Bull Run in 1861,Stonewall,History,Civil War,TRUE,400,1,12/27/2022
The Civil War,"Abner Doubleday, purported inventor of baseball, ordered the firing of the first defensive shots of the war at this location",Fort Sumter,History,Civil War,TRUE,800,2,12/27/2022
The Civil War,"Arthur MacArthur from Milwaukee won the Medal of Honor for a charge at Missionary Ridge shouting this, now a fight song title","On, Wisconsin!",HIstory,Civil War,FALSE,1200,3,12/27/2022
The Civil War,"n 1863 Congress passed the first act implementing this in the U.S., leading to riots in New York City & elsewhere",Conscription,HIstory,Civil War,TRUE,1600,4,12/27/2022
The Civil War,"Resulting in almost 24,000 casualties, this 1862 battle in Tennessee has a name from Hebrew that is often translated as ""peaceful one""",Shiloh,HIstory,Civil War,FALSE,2000,5,12/27/2022
"""T"" Time",The name of this bluish-green gem reflects the country it was mistakenly thought to come from,Turqoise,Science,Geology,FALSE,400,1,12/27/2022
"""T"" Time","Here's the logo of this brand, known for its waterproof boots",Timberland,Business,Companies,FALSE,800,2,12/27/2022
"""T"" Time",This Copenhagen amusement park's famous bubble fountain is said to have been co-designed by Niels Bohr,Tivoli,Geography,Cities,FALSE,1200,3,12/27/2022
"""T"" Time","Beveridge is the fitting last name of the guy behind this brand of vodka distilled in Austin, Texas",Tito's,General Knowledge,Alcohol,TRUE,1600,4,12/27/2022
"""T"" Time","Survived by its gardens, this palace next to the Louvre was originally commissioned by Catherine de Medici",Tulleries,Art,Architecture,FALSE,2000,5,12/27/2022
Children's Books,"Its title character is told ""By the time you are Real, most of your hair has been loved off... your eyes drop out & you get... shabby""",Velveteen Rabbit,Literature,Book Titles,FALSE,0,6,12/27/2022
Word Puzzles,How about a nice healthy cup of this? SOUI⊃,Split Pea Soup,General Knowledge,Cooking,TRUE,200,1,12/26/2022
Word Puzzles,A legendary outlaw HOROBOD,Robin Hood,HIstory,European History,TRUE,400,2,12/26/2022
Word Puzzles,Take a hike & take along some of this snack RIALT,Trail Mix,General Knowledge,Cooking,TRUE,600,3,12/26/2022
Word Puzzles,New drivers may find it challenging GNIKCAB,Backing Up,Linguistics,Vocabulary,TRUE,800,4,12/26/2022
Word Puzzles,It was a hit for Stevie Wonder M1YL1I1F1E,"""For Once in My Life""",Music,Pop,FALSE,1000,5,12/26/2022
The 18th Century,"She came to power in Russia in a 1762 coup against her husband, who was soon dead with the official cause as hemorrhoids",Catherine the Great,History,European History,TRUE,200,1,12/26/2022
The 18th Century,"The original this singing ""club"" began with some English guys who sang madrigals after dinner in the 1780s",Glee Club,Music,Pop,FALSE,400,2,12/26/2022
The 18th Century,6 men arrived in what's now Yemen in 1762 on Europe's first scientific expedition to this peninsula; one made it back home,Arabian Peninsula,History,Middle Eastern History,TRUE,600,3,12/26/2022
The 18th Century,"Early works on popular science appeared, like one on this British scientist ""For the Ladies, or Dialogues on Light & Colors""",Isaac Newton,Science,Physics,TRUE,800,4,12/26/2022
The 18th Century,The French loved the fur hat Ben Franklin wore to cover his boils & compared him to this Swiss-born philosopher of a state of nature,Rousseau,Literature,Philosophy,FALSE,1000,5,12/26/2022
The Office,"Software such as Greetly can replace this person, like Ellie Kemper's character Erin on ""The Office""",Receptionist,Business,Professions,FALSE,200,1,12/26/2022
The Office,A platonic female best friend & confidante to a co-worker; it was the title of a 1930 book & movie,The Office Wife,Literature,Book Titles,FALSE,400,2,12/26/2022
The Office,A popular office snack is the granola bar made since 1975 & named for this place we think is between Death Valley & Silicon Valley,Nature Valley,Business,Companies,FALSE,600,3,12/26/2022
The Office,"Labor Day 2022 was a dividing line for several big companies when WFH became RTO, short for this",Return to Office,Linguistics,Acronyms,TRUE,800,4,12/26/2022
The Office,"Term for a group meeting to assess a completed project, or for an art exhibit covering a painter's whole career",Retrospective,Linguistics,Vocabulary,FALSE,1000,5,12/26/2022
Vaction Isles,"Lovely Santorini, part of the Cyclades, lies off the southeastern coast of Greece in this sea",The Aegean,Geography,Oceans,FALSE,200,1,12/26/2022
Vaction Isles,Locals in Bali call Mount Agung the this body part of the world; must be an outie,Navel,Geography,Oceans,FALSE,400,2,12/26/2022
Vaction Isles,"Ischia is a winey, picturesque island at the entrance to this bay, near the southern Italian city with the same name as the bay",Naples,Geography,Cities,FALSE,600,3,12/26/2022
Vaction Isles,It pairs with Caicos in the name of a group of sunny isles southeast of the Bahamas,Turks,Geography,Islands,FALSE,800,4,12/26/2022
Vaction Isles,"Northernmost of the main Hawaiian islands is this lush 5-letter isle also known as ""The Garden Isle""",Kauai,Geography,Islands,FALSE,1000,5,12/26/2022
Apps and Websites,"Sales for the last 3 months of 2020 for this video conferencing co. were up 370% from the same time in 2019, for... reasons",Zoom,Business,Companies,TRUE,200,1,12/26/2022
Apps and Websites,"It's not your grandma's Western Union (stop) it's ""a new era of messaging"" (stop) are you getting the idea (we'll stop)",Telegram,Business,Companies,TRUE,400,2,12/26/2022
Apps and Websites,It was founded in 1998 as Confinity but soon went by this name instead of something like Reimbursafriend or Dollar-a-Buddy,Paypal,Business,Companies,TRUE,600,3,12/26/2022
Apps and Websites,"An ""SNL"" ""ad"" for this company included, ""I'd never live in North Carolina, but if I did, I could buy a big, gross mansion""",Zillow,Business,Companies,FALSE,800,4,12/26/2022
Apps and Websites,"The stars aligned, & by the end of 2021, this platform reported it had 244 million cumulative reviews",Yelp,Business,Companies,TRUE,1000,5,12/26/2022
Remember the Alamo Bowl,College football's Alamo Bowl is held annually at the Alamodome in this city,San Antonio,Sports,Football,TRUE,200,1,12/26/2022
Remember the Alamo Bowl,"Since 2010 the Alamo Bowl has matched 2 of the top teams from these ""12"" conferences","PAC-12, Big 12",Sports,Football,FALSE,400,2,12/26/2022
Remember the Alamo Bowl,"At the 2012 Alamo Bowl, the Texas defense put the bag on Oregon State's quarterback with 10 of these",Sacks,Sports,Football,TRUE,600,3,12/26/2022
Remember the Alamo Bowl,In 2011 the Bears of this Waco school just up the road scored an Alamo Bowl record 67 points to beat Washington,Baylor,Sports,Football,TRUE,800,4,12/26/2022
Remember the Alamo Bowl,"Before he was a 2010 Super Bowl MVP for New Orleans, this QB was a 1998 Alamo Bowl MVP for Purdue",Drew Brees,Sports,Football,FALSE,1000,5,12/26/2022
Sounds Like a University,Anthracite + fence opening,Coal Gate,Science,Geology,FALSE,400,1,12/26/2022
Sounds Like a University,Cereal grain + 12th letter of the alphabet,Corn L,Geography,Universities,FALSE,800,2,12/26/2022
Sounds Like a University,Like a road with half the traffic going in one direction & half in the opposite,two-lane,Geography,Universities,FALSE,1200,3,12/26/2022
Sounds Like a University,Dietary fiber + gambling cubes,Bran dice,Geography,Universities,FALSE,1600,4,12/26/2022
Sounds Like a University,Black table spice + a unite of force,Pepper dyne,Geography,Universities,FALSE,2000,5,12/26/2022
Stage Musicals by Song Lyrics,"""I'll never grow up, never grow up, never grow up, not me!""",Peter Pan,Theater,Musicals,TRUE,400,1,12/26/2022
Stage Musicals by Song Lyrics,"""I want it long, straight, curly, fuzzy, snaggy, shaggy, ratty, matty, oily, greasy, fleecy""",Hair,Theater,Musicals,FALSE,800,2,12/26/2022
Stage Musicals by Song Lyrics,"""Hodel, oh Hodel, have I made a match for you! He's handsome, he's young! Alright, he's 62""",Fiddler on the Roof,Theater,Musicals,TRUE,1200,3,12/26/2022
Stage Musicals by Song Lyrics,"""There is a sucker born every minute, each time the second hand sweeps to the top like dandelions up they pop""",Barnum,Theater,Musicals,FALSE,1600,4,12/26/2022
Stage Musicals by Song Lyrics,"""Little more speed, little more rope, little more wind, little more hope, gotta get this stupid kite to fly""","You're a Good Man, Charlie Brown",Theater,Musicals,FALSE,2000,5,12/26/2022
Africa,"Firestone has long been an economic anchor of Liberia, running a 120,000-acre plantation for this product",Rubber,Geography,Africa,FALSE,400,1,12/26/2022
Africa,"Head to Tunisia to visit the ruins of this city whose name means ""new town"", founded around 800 B.C.",Carthage,Geography,Cities,TRUE,800,2,12/26/2022
Africa,Battlefields of this war include Spioenkop in the Kwazulu-Natal province,Boer War,History,African History,TRUE,1200,3,12/26/2022
Africa,These non-Muslims make up the second-largest religious group in Egypt,The Copts,Religion,Christianity,TRUE,1600,4,12/26/2022
Africa,The name of a whole country was countrified from the name of this coastal desert of southwest Africa,The Namib,Geography,Africa,FALSE,2000,5,12/26/2022
Your Elemental Hit Parade,"A mood stabilizer, it comes in at a helpful No. 3 (but it didn't crack the Top 40 for Nirvana)",Lithium,Science,Chemistry,TRUE,400,1,12/26/2022
Your Elemental Hit Parade,"Not great for use in water pipes, this element joins the parade at No. 82",Lead,Science,Chemistry,TRUE,800,2,12/26/2022
Your Elemental Hit Parade,"Know it's No. 83 & used in fire-detection equipment & you'll be taking care of this, every day! Taking care of this, every way!",Bismuth,Science,Chemistry,FALSE,1200,3,12/26/2022
Your Elemental Hit Parade,Grandpa's hip enough to know nothing can replace this metal at No. 22,Titanium,Science,Chemistry,TRUE,1600,4,12/26/2022
Your Elemental Hit Parade,Just out of the Hot 100 at 102 comes this element named for a very rich Swede,Nobelium,Science,Chemistry,TRUE,2000,5,12/26/2022
Write Place,"Colm Tóibín's ""Bad Blood"" documented the people & politics of this island",Ireland,Literature,Book Titles,FALSE,400,1,12/26/2022
Write Place,"This 19th century author & satirist wrote the travel book ""Roughing It"" about spending time out West & away from the Civil War",Mark Twain,Literature,Authors,TRUE,800,2,12/26/2022
Write Place,"In ""Double Vision"", writer John Knowles recounts traveling to Jordan & stumbling upon David Lean directing this epic film",Lawrence of Arabia,Film,Movies,TRUE,1200,3,12/26/2022
Write Place,"This classic 1934 novel opens, ""I am living at the Villa Borghese"", Henry Miller's name for Paris' Villa Seurat",Tropic of Cancer,Literature,Authors,FALSE,1600,4,12/26/2022
